#=======================================================================
#          One Thousand New Dwarf Novae from the OGLE Survey
#          
#           P. Mroz, A. Udalski, R. Poleski, P. Pietrukowicz
#             M.K. Szymanski, I. Soszynski, L. Wyrzykowski,
#               K. Ulaczyk, S. Kozlowski, and J. Skowron
#
#=======================================================================
#
# pmroz@astrouw.edu.pl
#
# Cross-identifications with the International Variable Star Index (VSX)
# database (Watson 2006).
#
# Format of the file cv_vsx.dat:
# ----------------------------------------------------------------------
#  Bytes  Format Units   Description
# ----------------------------------------------------------------------
#   1- 16  A16   ---     Star's ID
#  18- 41  A24   ---     VSX identifier
#  43- 47  A5    ---     References
# ----------------------------------------------------------------------
#
# References:
# -----------
# [1] Poleski et al. 2011: 2011AcA....61..123P
# [2] Kato 2014: http://ooruri.kusastro.kyoto-u.ac.jp/mailarchive/vsnet-alert/17231
# [3] Cieslinski et al. 2003: 2003PASP..115..193C
# [4] Terzan & Gosset 1991: 1991A&AS...90..451T
# [5] Udalski et al. 2012: 2012AcA....62..133U
# [6] Downes 2001: 2001PASP..113..764D
# [7] Cieslinski et al. 2004: 2014PASP..116..610C
# [8] Sartore & Treves 2012: 2012A&A...539A..52S
# [9] Mroz et al. 2015a: 2015ApJS..219...26M
# [10] Greiner et al. 1999: 1999MNRAS.308L..17G
# [11] Knigge & Bauernfeind 1967: 1967BamVe...7...51K
# [12] Mroz et al. 2015b: 2015arXiv151106355M
# [13] Shappee et al. 2014: 2014ApJ...788...48S

OGLE-BLG-DN-0001 OGLE-BLG-DN-001          1
OGLE-BLG-DN-0002 OGLE-BLG-DN-002          1
OGLE-BLG-DN-0003 OGLE-BLG-DN-003          1
OGLE-BLG-DN-0007 PNV J17144255-2943481    2
OGLE-BLG-DN-0022 OGLE BUL-SC47 V0070      3
OGLE-BLG-DN-0026 OGLE BUL-SC49 V0672      3
OGLE-BLG-DN-0027 OGLE BUL-SC49 V0332      3
OGLE-BLG-DN-0065 NSV 23209                4,5
OGLE-BLG-DN-0120 OGLE BUL-SC14 V3708      3
OGLE-BLG-DN-0125 OGLE BUL-SC26 V2089      3
OGLE-BLG-DN-0129 OGLE BUL-SC14 V0587      3
OGLE-BLG-DN-0138 OGLE BUL-SC29 V1956      3
OGLE-BLG-DN-0161 OGLE-IV BLG501.15 11770  5
OGLE-BLG-DN-0179 OGLE BUL-SC40 V0677      3
OGLE-BLG-DN-0219 OGLE-IV BLG501.28 111658 5
OGLE-BLG-DN-0245 OGLE BUL-SC03 V7898      3
OGLE-BLG-DN-0247 OGLE BUL-SC03 V6033      3
OGLE-BLG-DN-0270 MACHO 403.47614.3183     6
OGLE-BLG-DN-0360 OGLE BUL-SC23 V2872      3
OGLE-BLG-DN-0376 MACHO 401.48296.2600     7
OGLE-BLG-DN-0383 OGLE BUL-SC20 V0135      3
OGLE-BLG-DN-0424 MACHO 118.18664.5336     7
OGLE-BLG-DN-0429 MACHO 118.18790.4766     7
OGLE-BLG-DN-0450 MACHO 118.19052.2032     7
OGLE-BLG-DN-0454 V551 Sgr                 6
OGLE-BLG-DN-0471 OGLE BUL-SC30 V5126      3
OGLE-BLG-DN-0472 MACHO 176.19349.6100     7
OGLE-BLG-DN-0484 MACHO 113.19455.4698     7
OGLE-BLG-DN-0539 MACHO 114.19973.4162     7
OGLE-BLG-DN-0549 V5099 Sgr                6
OGLE-BLG-DN-0562 MACHO 109.20247.4850     7
OGLE-BLG-DN-0640 MACHO 101.20784.2398     7
OGLE-BLG-DN-0646 OGLE BUL-SC35 1171       3
OGLE-BLG-DN-0656 MACHO 104.20906.960      7
OGLE-BLG-DN-0668 MACHO 128.21149.4807     7
OGLE-BLG-DN-0669 OGLE BUL-SC33 V0703      3
OGLE-BLG-DN-0673 OGLE BUL_SC36_636869     8,9
OGLE-BLG-DN-0684 MACHO 105.21291.7441     6
OGLE-BLG-DN-0723 OGLE BUL-SC18 V4562      3
OGLE-BLG-DN-0730 MACHO 179.21843.4365     7
OGLE-BLG-DN-0739 MACHO 124.21890.1808     7
OGLE-BLG-DN-0749 MACHO 179.22103.2421     7
OGLE-BLG-DN-0753 OGLE BUL-SC19 V0713      3
OGLE-BLG-DN-0754 MACHO 115.22182.3452     7
OGLE-BLG-DN-0757 V5508 Sgr                6
OGLE-BLG-DN-0765 OGLE BUL-SC06 V0816      3
OGLE-BLG-DN-0779 MACHO 179.22489.4690     7
OGLE-BLG-DN-0780 OGLE BUL-SC42 V1487      3
OGLE-BLG-DN-0786 OGLE BUL-SC07 V1575      3
